################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         53   1.7405820200309573E-05   4.1718582940503419E-03   1.1102096631262943E-04   5.0395950861760858E-05
         1         54   5.6088793166523306E-04   1.9797588640997794E-02   3.0436683968877868E-03   8.9933290476631956E-04
         1         55   1.7713017595327334E-03   1.3816942891522747E-02   6.8018458113544957E-03   1.1565589469064751E-03
         1         56   2.2510404448063156E-09   1.2253612750136125E-03   3.2464051953546691E-06   7.9185127697562798E-06
         1         57   2.1085761253881610E-06   6.0612682075372737E-03   1.5687093037523877E-04   1.7384537327905781E-04
         1         58   2.6422701261391941E-07   3.2770757393116561E-03   1.5570191356666906E-05   2.4558234091679330E-05
         1         59   8.2551752653775784E-07   5.3613456411534480E-03   1.1102214067174783E-04   1.0883423789897626E-04
         1         60   1.4873217058419359E-03   1.1141967532737463E-02   5.6181432336602022E-03   9.0236458604533900E-04
         1         61   3.1065061639569350E-08   2.6220888694187118E-03   1.2910637002917237E-05   2.3716385597153912E-05
         1         62   3.5490172768252735E-05   3.7590203597370900E-03   3.1751996963809534E-04   9.8045823126411501E-05
         1         63   9.8384959713469040E-05   9.9127373477924680E-03   9.1383005560289124E-04   3.6536209191079201E-04
         1         64   5.5449715670225451E-09   1.1533322028320283E-03   3.7718441257797352E-06   8.6542501080739970E-06
         1         65   3.7508594022750831E-06   4.4328200441766802E-03   9.4413869534723256E-05   8.8819183280909809E-05
         1         66   2.8118867939635016E-06   1.5419994601976929E-03   3.5633847482673003E-05   1.6445197502877360E-05
         1         67   5.2219993315708630E-08   3.5799645202795154E-03   2.8470143312749682E-05   4.4634026585962178E-05
         1         68   1.2469060566474911E-10   3.9928190143762818E-04   4.6757338901827559E-07   1.9860386738099330E-06
