################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.5507650204393854E-02 a       289     0    13     1     1
 -4.5606556700699064E-01 a       290     0    13     1     2
 -1.6437058337974080E-02 a       291     0    13     1     3
  3.2414960102142953E-01 a       292     0    13     1     4
  1.8201597887498244E-01 a       293     0    13     1     5
  4.0108373983509871E-01 a       294     0    13     1     6
  2.9675552655205711E-01 a       295     0    13     1     7
  4.1090550697190246E-02 a       296     0    13     1     8
  9.0692207752545079E-02 a       297     0    13     1     9
  3.5809612927090662E-01 a       298     0    13     1    10
 -1.0015518485224069E-01 a       299     0    13     1    11
  8.0620895844777316E-03 a       300     0    13     1    12
  6.4202843870623361E-01 a       301     0    13     1    13
 -2.7261314195283048E-01 a       302     0    13     1    14
  8.4311795111772975E-02 a       303     0    13     1    15
  1.3287608795578193E-01 a       304     0    13     1    16
 -4.1425004127374425E-02 a       305     0    13     1    17
  1.6662699824197194E-01 a       306     0    13     1    18
 -1.1752778417829582E-02 a       307     0    13     1    19
  1.0339851201649387E-01 a       308     0    13     1    20
  9.9090188327726468E-04 a       309     0    13     1    21
 -1.6211229559616108E-01 a       310     0    13     1    22
 -1.4296260541246589E-01 a       311     0    13     1    23
  4.2994916813490186E-02 a       312     0    13     1    24
 -7.8726065168520083E-04 a       313     0    14     1     1
  1.5841198924104355E-01 a       314     0    14     1     2
  1.3763316715974316E-01 a       315     0    14     1     3
  2.9189023308350593E-02 a       316     0    14     1     4
 -4.1141885822905916E-01 a       317     0    14     1     5
  2.5267958948333041E-01 a       318     0    14     1     6
  5.5599880280785152E-01 a       319     0    14     1     7
 -2.0621673914441463E-01 a       320     0    14     1     8
 -2.2201247840256536E-01 a       321     0    14     1     9
 -4.8134460408469454E-01 a       322     0    14     1    10
  3.8911621678023250E-01 a       323     0    14     1    11
 -3.7546211781270983E-01 a       324     0    14     1    12
  8.6316907396783077E-02 a       325     0    14     1    13
 -4.2386314840768338E-02 a       326     0    14     1    14
 -2.1050397015680139E-01 a       327     0    14     1    15
 -7.4309254253405266E-01 a       328     0    14     1    16
  3.1027980461870547E-01 a       329     0    14     1    17
 -1.7455251443789122E-01 a       330     0    14     1    18
  1.0416043613181147E-01 a       331     0    14     1    19
 -3.4822417795924143E-01 a       332     0    14     1    20
  2.2442766071865006E-01 a       333     0    14     1    21
  6.4273252556473737E-01 a       334     0    14     1    22
  3.3107796472396189E-01 a       335     0    14     1    23
 -1.3818066122782158E-01 a       336     0    14     1    24
 -2.4248686030403280E-01 a       337     0    15     1     1
 -6.9628015247099759E-02 a       338     0    15     1     2
  2.8912903014394553E-01 a       339     0    15     1     3
 -3.3223054488499482E-01 a       340     0    15     1     4
 -1.3165854240947322E-01 a       341     0    15     1     5
  4.1405408827981119E-02 a       342     0    15     1     6
  2.1849618729840953E-01 a       343     0    15     1     7
 -2.4632234719135324E-01 a       344     0    15     1     8
 -3.4159413466768551E-01 a       345     0    15     1     9
  3.7564254730415070E-01 a       346     0    15     1    10
  2.7844789771868463E-02 a       347     0    15     1    11
 -2.0179062855899088E-01 a       348     0    15     1    12
 -2.5884217649229424E-01 a       349     0    15     1    13
  3.1414969817103083E-01 a       350     0    15     1    14
  4.7021943037874450E-02 a       351     0    15     1    15
  1.6401716952400822E-01 a       352     0    15     1    16
  1.4339767208614121E-01 a       353     0    15     1    17
  3.0420921670362333E-01 a       354     0    15     1    18
  3.0845854903684515E-02 a       355     0    15     1    19
 -4.3130203138213481E-02 a       356     0    15     1    20
 -5.6124471990681678E-02 a       357     0    15     1    21
 -2.1816519379377447E-01 a       358     0    15     1    22
  1.6789029638511885E-01 a       359     0    15     1    23
 -1.9556178227497056E-01 a       360     0    15     1    24
  4.7230473946324431E-02 a       361     0    16     1     1
  1.4071596487425955E-01 a       362     0    16     1     2
  1.2370660548788710E-01 a       363     0    16     1     3
  2.6089439670347592E-01 a       364     0    16     1     4
 -7.1323296138520023E-02 a       365     0    16     1     5
 -2.3006138904284218E-01 a       366     0    16     1     6
 -1.3017819415273918E-01 a       367     0    16     1     7
  3.4623840077237861E-01 a       368     0    16     1     8
  2.5499880712206291E-01 a       369     0    16     1     9
 -9.1055717183392476E-02 a       370     0    16     1    10
 -5.3656104547004113E-01 a       371     0    16     1    11
  1.8124173637946096E-02 a       372     0    16     1    12
 -8.8331307315296925E-02 a       373     0    16     1    13
 -4.7912771411314342E-01 a       374     0    16     1    14
 -3.8110540489267797E-01 a       375     0    16     1    15
 -6.4139680093943430E-01 a       376     0    16     1    16
 -1.9830951753340911E-01 a       377     0    16     1    17
  1.2853716117374708E-01 a       378     0    16     1    18
  4.5324270905521519E-01 a       379     0    16     1    19
 -3.7453385812539242E-01 a       380     0    16     1    20
  1.3413005367348044E-01 a       381     0    16     1    21
 -5.6370019828226792E-01 a       382     0    16     1    22
