################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1        108   1.6200848215971104E-03   8.0112167175561841E-02   1.7974701668194624E-02   6.7055380799005415E-03
         1        109   2.4729060207489471E-04   1.4274515993580930E-01   4.8883297750882633E-02   1.2327676176021837E-02
         1        110   3.0268386507964564E-02   4.0783936330263304E-01   1.8408944355958679E-01   2.9169439252188508E-02
         1        111   3.7365628391195665E-05   8.5053528513855572E-02   1.2079981661418561E-02   5.2819027231200558E-03
         1        112   5.9096072740134680E-03   1.7396742093934020E-01   4.5811031045854121E-02   1.2547314813482419E-02
         1        113   6.6677228801631985E-03   8.8846296012810883E-02   2.1584345798573594E-02   6.6844663394170709E-03
         1        114   1.2280485376511504E-05   4.3994059655239823E-02   4.7621863918244287E-03   2.5267411982007994E-03
         1        115   1.8689524444292075E-03   9.4923768082437576E-02   2.1552356413954993E-02   7.4494030211365086E-03
         1        116   7.7846921335813807E-05   9.5025249137594012E-02   2.5884092139338954E-02   7.8627002786656325E-03
         1        117   2.0465586076994394E-02   2.7291591475132071E-01   1.0922660999205500E-01   1.9206146769429763E-02
         1        118   4.5087394229776354E-02   1.5402204219762314E-01   8.2566600063424200E-02   1.1081032266919024E-02
         1        119   4.4094095176740402E-06   4.3392424306077551E-02   3.8003724959755031E-03   2.2260397972899784E-03
         1        120   2.7870230450085850E-03   8.9303857056066152E-02   1.7757989678864178E-02   6.1592062362066232E-03
         1        121   2.4047032796363330E-03   4.5231660623076854E-02   8.3821614561883015E-03   2.7893160416042118E-03
         1        122   2.0218924529040706E-02   9.5511517044364086E-02   4.5997651074294731E-02   6.8166682271234525E-03
         1        123   1.4705596212344048E-06   2.2132241580684008E-02   1.4243844219135047E-03   1.0011382190015000E-03
         1        124   7.9472504998366643E-04   4.9578013329669011E-02   8.3689072994086264E-03   3.7626064303624114E-03
         1        125   4.6398877594663299E-04   2.8574631299295501E-02   3.2372823362568437E-03   1.6820063853557215E-03
         1        126   8.2885365251502346E-06   4.8516707451088166E-02   8.1853370955324960E-03   3.4983497513378257E-03
