################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.2276760638560081E-01 a       178     0     8     1    10
 -2.0943601188356975E-01 a       179     0     8     1    11
 -1.4647528726002770E-01 a       180     0     8     1    12
 -2.1839587685030884E-01 a       181     0     8     1    13
  5.1388421874315931E-03 a       182     0     8     1    14
  1.5490674869114493E-01 a       183     0     8     1    15
 -7.5622820424115630E-03 a       184     0     8     1    16
 -3.1706047000301185E-01 a       185     0     8     1    17
 -3.6766725922032290E-01 a       186     0     8     1    18
  1.2354835254236543E-01 a       187     0     8     1    19
  7.0848313337028316E-03 a       188     0     8     1    20
  8.5462879719803070E-02 a       189     0     8     1    21
  4.4604416755173092E-02 a       190     0     8     1    22
 -3.1027946438495074E-01 a       191     0     8     1    23
  1.4791045674629771E-01 a       192     0     8     1    24
 -1.3787780125404402E-02 a       193     0     9     1     1
  2.1425919752682682E-02 a       194     0     9     1     2
 -2.6291094387885617E-02 a       195     0     9     1     3
 -8.4491981655270276E-02 a       196     0     9     1     4
  1.1269202556513477E-01 a       197     0     9     1     5
  6.2924498045780252E-03 a       198     0     9     1     6
 -6.4249922238988608E-02 a       199     0     9     1     7
 -4.5757835995419181E-02 a       200     0     9     1     8
 -5.1457000670594902E-02 a       201     0     9     1     9
  1.4696182250280474E-02 a       202     0     9     1    10
  1.6089256987489320E-01 a       203     0     9     1    11
 -6.8920078956253988E-02 a       204     0     9     1    12
 -1.5183961887778130E-01 a       205     0     9     1    13
 -2.2011504076557466E-02 a       206     0     9     1    14
  7.8314370876260142E-02 a       207     0     9     1    15
 -2.8986655751300557E-02 a       208     0     9     1    16
  7.3114058570108206E-02 a       209     0     9     1    17
 -1.3372458962191805E-01 a       210     0     9     1    18
 -3.7268544176150879E-02 a       211     0     9     1    19
 -4.5859247690463401E-02 a       212     0     9     1    20
  2.6730993009116966E-02 a       213     0     9     1    21
 -3.8592329501812371E-02 a       214     0     9     1    22
 -3.2496264500957321E-02 a       215     0     9     1    23
 -1.4400925485165531E-01 a       216     0     9     1    24
  1.0256681066401825E-01 a       217     0    10     1     1
  1.4499811487486206E-01 a       218     0    10     1     2
 -5.3609898412960121E-02 a       219     0    10     1     3
 -9.7882507869263030E-02 a       220     0    10     1     4
  5.2424006860969152E-02 a       221     0    10     1     5
 -9.3322041205626899E-02 a       222     0    10     1     6
 -1.1850949287702026E-01 a       223     0    10     1     7
  2.0160089306552420E-01 a       224     0    10     1     8
  9.7263828493521609E-02 a       225     0    10     1     9
 -1.6130618942809200E-01 a       226     0    10     1    10
 -2.0147640030081648E-01 a       227     0    10     1    11
 -2.5236180718832768E-01 a       228     0    10     1    12
  1.1109103634929834E-01 a       229     0    10     1    13
 -1.5898932849609204E-01 a       230     0    10     1    14
 -5.4508416252254180E-02 a       231     0    10     1    15
  8.9256961970033674E-02 a       232     0    10     1    16
 -1.5597884503337772E-01 a       233     0    10     1    17
 -2.1747379867802324E-01 a       234     0    10     1    18
  1.3389982357774474E-01 a       235     0    10     1    19
  1.9830509560679402E-01 a       236     0    10     1    20
  1.1419964225883654E-01 a       237     0    10     1    21
 -1.1223575421441277E-01 a       238     0    10     1    22
  1.1926675117616471E-01 a       239     0    10     1    23
  1.7429689738420193E-01 a       240     0    10     1    24
  3.8180366133889337E-02 a       241     0    11     1     1
 -8.9138374803202441E-02 a       242     0    11     1     2
 -1.2301594166277179E-01 a       243     0    11     1     3
 -4.0087457361737806E-02 a       244     0    11     1     4
  2.0129584320500927E-02 a       245     0    11     1     5
 -6.8139340854900211E-03 a       246     0    11     1     6
  3.9138092645473903E-02 a       247     0    11     1     7
 -2.8436718769650454E-02 a       248     0    11     1     8
 -6.5748001334053660E-02 a       249     0    11     1     9
  5.3740875627973701E-02 a       250     0    11     1    10
  3.1376673738944136E-02 a       251     0    11     1    11
 -1.0550553937697387E-02 a       252     0    11     1    12
 -1.1196324945801263E-01 a       253     0    11     1    13
 -1.1998060082917209E-02 a       254     0    11     1    14
 -4.6743361129263659E-02 a       255     0    11     1    15
 -2.2875543097164225E-03 a       256     0    11     1    16
  2.9946555111756818E-03 a       257     0    11     1    17
 -2.9351670145725257E-03 a       258     0    11     1    18
 -1.0981521609839033E-01 a       259     0    11     1    19
 -2.8438285565843085E-02 a       260     0    11     1    20
  2.9572726244225259E-02 a       261     0    11     1    21
 -4.1679903159266625E-02 a       262     0    11     1    22
  7.8215173136009300E-03 a       263     0    11     1    23
 -7.2415485207305563E-02 a       264     0    11     1    24
 -4.5812596389500408E-02 a       265     0    12     1     1
  1.9591797343826118E-02 a       266     0    12     1     2
 -1.3815476096368871E-03 a       267     0    12     1     3
  5.9385660986640380E-02 a       268     0    12     1     4
 -2.7217465360283855E-02 a       269     0    12     1     5
 -1.5506812742950357E-01 a       270     0    12     1     6
 -5.0647209416018871E-02 a       271     0    12     1     7
